"code","name","use_yn"
"1100000000",서울특별시,Y
"2600000000",부산광역시,Y
"2700000000",대구광역시,Y
"2800000000",인천광역시,Y
"2900000000",광주광역시,Y
"3000000000",대전광역시,Y
"3100000000",울산광역시,Y
"3611000000",세종특별자치시,Y
"4100000000",경기도,Y
"4111000000",경기도 수원시,Y
"4113000000",경기도 성남시,Y
"4115000000",경기도 의정부시,Y
"4117000000",경기도 안양시,Y
"4119000000",경기도 부천시,Y
"4121000000",경기도 광명시,Y
"4122000000",경기도 평택시,Y
"4125000000",경기도 동두천시,Y
"4127000000",경기도 안산시,Y
"4128000000",경기도 고양시,Y
"4129000000",경기도 과천시,Y
"4131000000",경기도 구리시,Y
"4136000000",경기도 남양주시,Y
"4137000000",경기도 오산시,Y
"4139000000",경기도 시흥시,Y
"4141000000",경기도 군포시,Y
"4143000000",경기도 의왕시,Y
"4145000000",경기도 하남시,Y
"4146000000",경기도 용인시,Y
"4148000000",경기도 파주시,Y
"4150000000",경기도 이천시,Y
"4155000000",경기도 안성시,Y
"4157000000",경기도 김포시,Y
"4159000000",경기도 화성시,Y
"4161000000",경기도 광주시,Y
"4163000000",경기도 양주시,Y
"4165000000",경기도 포천시,Y
"4167000000",경기도 여주시,Y
"4180000000",경기도 연천군,Y
"4182000000",경기도 가평군,Y
"4183000000",경기도 양평군,Y
"4300000000",충청북도,Y
"4311100000",충청북도 청주시,Y
"4313000000",충청북도 충주시,Y
"4315000000",충청북도 제천시,Y
"4372000000",충청북도 보은군,Y
"4373000000",충청북도 옥천군,Y
"4374000000",충청북도 영동군,Y
"4374500000",충청북도 증평군,Y
"4375000000",충청북도 진천군,Y
"4376000000",충청북도 괴산군,Y
"4377000000",충청북도 음성군,Y
"4380000000",충청북도 단양군,Y
"4400000000",충청남도,Y
"4413000000",충청남도 천안시,Y
"4415000000",충청남도 공주시,Y
"4418000000",충청남도 보령시,Y
"4420000000",충청남도 아산시,Y
"4421000000",충청남도 서산시,Y
"4423000000",충청남도 논산시,Y
"4425000000",충청남도 계룡시,Y
"4427000000",충청남도 당진시,Y
"4471000000",충청남도 금산군,Y
"4476000000",충청남도 부여군,Y
"4477000000",충청남도 서천군,Y
"4479000000",충청남도 청양군,Y
"4480000000",충청남도 홍성군,Y
"4481000000",충청남도 예산군,Y
"4482500000",충청남도 태안군,Y
"4600000000",전라남도,Y
"4611000000",전라남도 목포시,Y
"4613000000",전라남도 여수시,Y
"4615000000",전라남도 순천시,Y
"4617000000",전라남도 나주시,Y
"4623000000",전라남도 광양시,Y
"4671000000",전라남도 담양군,Y
"4672000000",전라남도 곡성군,Y
"4673000000",전라남도 구례군,Y
"4677000000",전라남도 고흥군,Y
"4678000000",전라남도 보성군,Y
"4679000000",전라남도 화순군,Y
"4680000000",전라남도 장흥군,Y
"4681000000",전라남도 강진군,Y
"4682000000",전라남도 해남군,Y
"4683000000",전라남도 영암군,Y
"4684000000",전라남도 무안군,Y
"4686000000",전라남도 함평군,Y
"4687000000",전라남도 영광군,Y
"4688000000",전라남도 장성군,Y
"4689000000",전라남도 완도군,Y
"4690000000",전라남도 진도군,Y
"4691000000",전라남도 신안군,Y
"4700000000",경상북도,Y
"4711000000",경상북도 포항시,Y
"4713000000",경상북도 경주시,Y
"4715000000",경상북도 김천시,Y
"4717000000",경상북도 안동시,Y
"4719000000",경상북도 구미시,Y
"4721000000",경상북도 영주시,Y
"4723000000",경상북도 영천시,Y
"4725000000",경상북도 상주시,Y
"4728000000",경상북도 문경시,Y
"4729000000",경상북도 경산시,Y
"4773000000",경상북도 의성군,Y
"4775000000",경상북도 청송군,Y
"4776000000",경상북도 영양군,Y
"4777000000",경상북도 영덕군,Y
"4782000000",경상북도 청도군,Y
"4783000000",경상북도 고령군,Y
"4784000000",경상북도 성주군,Y
"4785000000",경상북도 칠곡군,Y
"4790000000",경상북도 예천군,Y
"4792000000",경상북도 봉화군,Y
"4793000000",경상북도 울진군,Y
"4794000000",경상북도 울릉군,Y
"4800000000",경상남도,Y
"4812000000",경상남도 창원시,Y
"4817000000",경상남도 진주시,Y
"4822000000",경상남도 통영시,Y
"4824000000",경상남도 사천시,Y
"4825000000",경상남도 김해시,Y
"4827000000",경상남도 밀양시,Y
"4831000000",경상남도 거제시,Y
"4833000000",경상남도 양산시,Y
"4872000000",경상남도 의령군,Y
"4873000000",경상남도 함안군,Y
"4874000000",경상남도 창녕군,Y
"4882000000",경상남도 고성군,Y
"4884000000",경상남도 남해군,Y
"4885000000",경상남도 하동군,Y
"4886000000",경상남도 산청군,Y
"4887000000",경상남도 함양군,Y
"4888000000",경상남도 거창군,Y
"4889000000",경상남도 합천군,Y
"5000000000",제주특별자치도,Y
"5100000000",강원특별자치도,Y
"5111000000",강원특별자치도 춘천시,Y
"5113000000",강원특별자치도 원주시,Y
"5115000000",강원특별자치도 강릉시,Y
"5117000000",강원특별자치도 동해시,Y
"5119000000",강원특별자치도 태백시,Y
"5121000000",강원특별자치도 속초시,Y
"5123000000",강원특별자치도 삼척시,Y
"5172000000",강원특별자치도 홍천군,Y
"5173000000",강원특별자치도 횡성군,Y
"5175000000",강원특별자치도 영월군,Y
"5176000000",강원특별자치도 평창군,Y
"5177000000",강원특별자치도 정선군,Y
"5178000000",강원특별자치도 철원군,Y
"5179000000",강원특별자치도 화천군,Y
"5180000000",강원특별자치도 양구군,Y
"5181000000",강원특별자치도 인제군,Y
"5182000000",강원특별자치도 고성군,Y
"5183000000",강원특별자치도 양양군,Y
"5200000000",전북특별자치도,Y
"5211000000",전북특별자치도 전주시,Y
"5213000000",전북특별자치도 군산시,Y
"5214000000",전북특별자치도 익산시,Y
"5218000000",전북특별자치도 정읍시,Y
"5219000000",전북특별자치도 남원시,Y
"5221000000",전북특별자치도 김제시,Y
"5271000000",전북특별자치도 완주군,Y
"5272000000",전북특별자치도 진안군,Y
"5273000000",전북특별자치도 무주군,Y
"5274000000",전북특별자치도 장수군,Y
"5275000000",전북특별자치도 임실군,Y
"5277000000",전북특별자치도 순창군,Y
"5279000000",전북특별자치도 고창군,Y
"5280000000",전북특별자치도 부안군,Y
